Year,Sentence ID,Before,Mod,After,Main Verb,Passivized,Passive,Interrogative,Role,Speaker
1970,15785__0_030_0_0,The inescapable conclusion must be that whenever it is shown   that another plan of reapportionment,can,reduce the population variance it must be adopted in lieu of the existing plan no matter how minimal the population deviation is under the existing plan .,reduce,,0,0,A,Frank P. Barone
1970,15785__0_030_0_0,The inescapable conclusion must be that whenever it is shown   that another plan of reapportionment can reduce the population variance it,must,be adopted in lieu of the existing plan no matter how minimal the population deviation is under the existing plan .,adopted,must  be  adopted,1,0,A,Frank P. Barone
1970,15785__0_035_0_0,My question is  ,would,your clients in the posture of the case today support the Molof plan ?,support,,0,1,U,<INAUDIBLE>
1970,15785__0_039_0_0,If it were 7.6  ,would,you be supporting it ?,be,,0,1,U,<INAUDIBLE>
1970,15785__0_040_0_0,And a multi - member district plan using town lines as static boundaries,can,not possibly be flexible enough to move with the phenomenal growth which this county expects and which it has had .,be,,0,0,A,Frank P. Barone
1970,15785__1_005_0_0,,can,you define this to what you ...,define,,0,0,J,Warren E. Burger
1970,15785__1_011_0_0,Why,should,we become so concerned about how that ’s achieved where the lines are whether they ’re static or whether they ’re changed every two years or whatever ?,become,,0,1,J,Warren E. Burger
1970,15785__1_019_0_0,You,would,accept it ?,accept,,0,1,U,<INAUDIBLE>
1970,15785__1_020_0_0,No   we,can,not accept the ...   we can not accept it as a permanent plan .,accept,,0,0,A,Doris Friedman Ulman
1970,15785__1_020_0_0,No   we can not accept the ...   we,can,not accept it as a permanent plan .,accept,,0,0,A,Doris Friedman Ulman
1970,15785__1_039_0_0,...   even if that were achieved  ,would,you still argue that this would not satisfy ...,argue,,0,0,U,<INAUDIBLE>
1970,15785__1_039_0_0,...   even if that were achieved   would you still argue that this,would,not satisfy ...,satisfy,,0,0,U,<INAUDIBLE>
1970,15785__1_045_0_0,Well   how,can,you do that consistently where the suggestion in Reynolds and Sims that it is appropriate to use town and county wise ?,do,,0,1,U,<INAUDIBLE>
1970,15785__1_046_0_0,For the fact that Reynolds said that population,should,be the controlling factor in deciding a reapportionment plan .,be,,0,0,A,Doris Friedman Ulman
1970,15785__1_047_0_0,My point   my hypothetical was that you,would,come out with the basic quality that ( Voice Overlap ) .,come,,0,0,U,<INAUDIBLE>
1970,15785__1_049_0_0,You ’re saying that that,would,be impossible to maintain equality of certain things happen by just designing different members of representatives ...,be,,0,0,U,<INAUDIBLE>
1970,15785__1_059_0_0,Every district,should,have at least one vote not a half vote .,have,,0,0,U,<INAUDIBLE>
1970,15785__1_061_0_0,Although they,would,have a man there ...  ,have,,0,0,U,<INAUDIBLE>
1970,15785__1_061_0_0,they,would,have a man there .,have,,0,0,U,<INAUDIBLE>
1970,15785__1_064_0_0,,would,have a vote .,have,,0,0,A,Doris Friedman Ulman
1970,15785__1_065_0_0,Whatever 24.50,can,have plus his half vote .,have,,0,0,U,<INAUDIBLE>
1970,15785__1_073_0_0,Is it the matter ...   is it something like that Stony Point,can,join   example with Clarkstown and Orangetown to get the majority or is there some sort of maneuvering here that you originally politically object to ?,join,,0,1,J,Potter Stewart
1970,15785__1_086_0_0,Yes   if I,may,just finish this .,finish,,0,0,A,Doris Friedman Ulman
1970,15785__1_088_0_0,I believe that the Kirkpatrick reasoning of good - faith effort has to apply to all these cases because if it elucidates Wesberry it,must,follow through into the cases the followed it .,follow,,0,0,A,Doris Friedman Ulman
1970,15785__2_008_0_0,So I think the reasoning that Judge Fuld set forth in his dissenting opinion,can,not be upheld based upon actually what happened .,upheld,can  be  upheld,1,0,A,J. Martin Cornell
1970,15785__2_015_0_0,There could   any plaintiff,could,come in and say it ’s a constitutional required you ’re not reapportioned .,come,,0,0,U,<INAUDIBLE>
1970,15785__2_018_0_0,and if the deviation was substantial then of course the then legislation,would,have to take the necessary steps to rectify that deviation .,have,,0,0,A,J. Martin Cornell
1970,15785__2_024_0_0,Well   the reason is that Rockland County if it ’s analyzed mathematically   the larger towns because of their size,would,be in a position to nullify any vote or any vote that would be accorded to the smaller town because it is such a small town .,be,,0,0,A,J. Martin Cornell
1970,15785__2_024_0_0,Well   the reason is that Rockland County if it ’s analyzed mathematically   the larger towns because of their size would be in a position to nullify any vote or any vote that,would,be accorded to the smaller town because it is such a small town .,accorded,would  be  accorded,1,0,A,J. Martin Cornell
1970,15785__2_029_0_0,That,would,n’t raise the problem here talking about then you ’d still have it   would it ?,raise,,0,1,U,<INAUDIBLE>
1970,15785__2_030_0_0,Well   the way the plan,would,function would be that you would always give one legislator to the smallest town .,function,,0,0,A,J. Martin Cornell
1970,15785__2_030_0_0,Well   the way the plan would function,would,be that you would always give one legislator to the smallest town .,be,,0,0,A,J. Martin Cornell
1970,15785__2_030_0_0,Well   the way the plan would function would be that you,would,always give one legislator to the smallest town .,give,,0,0,A,J. Martin Cornell
1970,15785__2_035_0_0,but I gather the argument on the other side was that technique theoretically,could,result in very wide ...   much wider variation and population change is great .,result,,0,0,U,<INAUDIBLE>
1970,15785__2_039_0_0,Mr. Cornell,may,I ask   basically is your proposition that proactive tests applies throughout the ...   a little more play in the joints when you ’re dealing with local and county government or is your proposition that where you ’re dealing with Rockland County draw to be a different test from that which apply to what you are suggesting ?,ask,,0,1,U,<INAUDIBLE>
1970,15785__2_045_0_0,Are you ...   you,would,say then that when you ’re dealing with local government   the desire to organize on a town shift line basis or town line basis especially where they have real functions as in this case is a rational justification of excuse for some population variation ?,say,,0,1,U,<INAUDIBLE>
1970,15785__2_047_0_0,Whereas   but that it,might,not be enough of an excuse if the variation were 50 % or some higher figure ?,be,,0,1,U,<INAUDIBLE>
1970,15785__2_049_0_0,But ...   and also   it,might,not be a justification that the town lines were really functionally irrelevant to a local government .,be,,0,0,U,<INAUDIBLE>
1970,15785__2_055_0_0,The town lines,might,be  ,be,,0,0,U,<INAUDIBLE>
1970,15785__2_055_0_0,I take it that your position,must,be the town lines have some real substance in them for purpose of Local Government at the same variations might not be satisfactorily justified but on the town line basis   if we were dealing with the congressional district .,be,,0,0,U,<INAUDIBLE>
1970,15785__2_055_0_0,I take it that your position must be the town lines have some real substance in them for purpose of Local Government at the same variations,might,not be satisfactorily justified but on the town line basis   if we were dealing with the congressional district .,justified,might  be  justified,1,0,U,<INAUDIBLE>
1970,15785__2_061_0_0,I take it that the ...   one of the attacks on the multi - member plan in the lower courts was that they expect the side of multi - member district,should,n’t be just a mere multiple of the ...,be,,0,0,U,<INAUDIBLE>
1970,15785__2_075_0_0,But do you know any instances where those people who are drafting apportionment plans either judges or commissions or lawyers or legislators have run on the assumption that multi - member districts,should,be assigned strength on some basis other than the multiple of the base figure ?,assigned,should  be  assigned,1,1,U,<INAUDIBLE>
1970,15785__2_084_0_0,That the number of legislators,should,be allocated to the larger district   is the square root of the population for two legislators .,allocated,should  be  allocated,1,0,A,J. Martin Cornell
1970,15785__2_088_0_0,He uses a mathematical formula to arrive at it and I,’ll,be quite candid  ,be,,0,0,A,J. Martin Cornell
1970,15785__2_089_0_0,He really thinks that it ’s so ( Inaudible ) that you,ought,to be to a single - member district .,be,,0,0,U,<INAUDIBLE>
1970,15785__2_090_0_0,If you follow his arguments logically   it,would,lead to the conclusion that the only possibility is a single - member district plan or that they would have to be some adjustment in a number of legislators .,lead,,0,0,A,J. Martin Cornell
1970,15785__2_090_0_0,If you follow his arguments logically   it would lead to the conclusion that the only possibility is a single - member district plan or that they,would,have to be some adjustment in a number of legislators .,have,,0,0,A,J. Martin Cornell
1970,15785__2_094_0_0,He,may,be affected by what he thinks is right .,affected,may  be  affected,1,0,A,J. Martin Cornell
1970,15785__2_095_0_0,If you make that assumption   do you think Reynolds against Sims,would,have come out differently ?,have,,0,1,U,<INAUDIBLE>
1970,15785__2_101_0_0,There is some kind of a mathematical factor that gives them good deal and more force here than Alaska,can,have to remand .,have,,0,0,J,Warren E. Burger
1970,15785__2_102_0_0,So that I think that the use of multi - member districts is a valid method of apportionment and that you,can,not say per se based upon the mathematical models that have been developed that is bar .,say,,0,0,A,J. Martin Cornell
1970,15785__2_103_0_0,Mr. Cornell   not saying that ’s invalid or not but,would,n’t you think that if you had the choice of one person representing you or for representing you and one   you wanted something done and two   you want to hold somebody responsible for it   would n’t you better off with one as to four ?,think,,0,1,J,Thurgood Marshall
1970,15785__2_108_0_0,I presume that if subsequent censuses showed or if this Court says that this plan is no good   that they,would,appoint a bipartisan commission again to come up with a new plan or a better plan or just to carve line that would meet the test that it will be laid down here .,appoint,,0,0,A,J. Martin Cornell
1970,15785__2_108_0_0,I presume that if subsequent censuses showed or if this Court says that this plan is no good   that they would appoint a bipartisan commission again to come up with a new plan or a better plan or just to carve line that,would,meet the test that it will be laid down here .,meet,,0,0,A,J. Martin Cornell
1970,15785__2_108_0_0,I presume that if subsequent censuses showed or if this Court says that this plan is no good   that they would appoint a bipartisan commission again to come up with a new plan or a better plan or just to carve line that would meet the test that it,will,be laid down here .,laid,will  be  laid,1,0,A,J. Martin Cornell
1970,15785__2_110_0_0,And it was a concern of the board of supervisors to devise this plan that they like to maintain an interrelationship between these two levels of government   so that the towns,would,have a voice in the county government that ’s why they use the town lines .,have,,0,0,A,J. Martin Cornell
1970,15785__2_111_0_0,And that,would,n’t apply any of the State necessarily unless they could show the same thing .,apply,,0,0,J,Thurgood Marshall
1970,15785__2_111_0_0,And that would n’t apply any of the State necessarily unless they,could,show the same thing .,show,,0,0,J,Thurgood Marshall
1970,15785__2_116_0_0,And this,may,not be trued in other jurisdictions where this is the case .,trued,may  be  trued,1,0,A,J. Martin Cornell
1970,15785__3_000_0_0,And that ’s the question that we,must,resolve not whether there is to be ...,resolve,,0,0,A,Paul H. Rivet
1970,15785__3_002_0_0,What,can,we expect from a commission that does not represent the actual population of the communities ?,expect,,0,1,A,Paul H. Rivet
1970,15785__3_008_0_0,I,can,not conceive that how our forth forbearers in establishing the constitutional would have conceived of anything less than the most important right being the individual ’s vote .,conceive,,0,0,A,Paul H. Rivet
